Review_id,Rating,Review_text
1,1,Worst food experience..... I ordered home style chicken... They send chicken pieces with veg gravy... Gravy was tasted like a moong daal soup.... Chicken pieces was stale.... Don't order from here ...
2,1,"worst food,  thay use shahi paneer gravy in rara chicken, worst Chicken in my entire life"
3,1,I don t feel like giving a single star They don t even serve you seriously specially this guy.. this is the second i am coming here.. when first time i came he was just looking at my face.. no one cane to serve me and again same thing is happening they don t have basic etiquettes they didn t even serve water and then now i kept the chair next to me and this guy came to me and he s saying chair thik se rakho seriously Ese koi customer ko serve karta hae kyaa Kahan bhi cheeee they don t know how to make basic lime soda.. aur watermelon mojito mae watermelon khan hae this is the last time we are coming here will never come here again specially when they don t know how to treat their customers
4,1,Very bad and late service. We gone for dinner out there They take our order but we wait almost 30min for just small order Nd blue lagoon was my arrival order they take my order but didn't gave No service man wants to communicate they just hanging around in every 15min I hv to assist them for my order...all the do is yes sir only...rather than provide our order Very poor service If u can wait for 1hour then I highly recommend
5,1,Very bad servicing late order having issue Of time lot of taking time for giving order
6,1,I am inform you that your F and B staff service is very poor and staff service is very poor with food
7,1,"Extremely disappointing experience. We were left waiting for over an hour for our order, and ultimately had to leave. The staff did not apologize or acknowledge the delay. Poor service and complete disregard for customers time, would not recommend."
8,1,"The quality of the food is good, but the staff's interaction is not nice. Some of them don't have manners while taking orders they were acting arrogantly while taking the order, and I didn't like it."
9,1,Once i order biryani from this place and there were many small white insects in it
10,1,Service is very poor i have ordered my food but they dont serve me even in 30 minutes then i cancel my order and went to other restaurant so please dont visit here
11,1,"Giving one star is good enough , my intension was to give nothing but still there's no negative option here. Once I ordered butter chicken , instead of feeling this , I felt like .... Really guys that was butter chicken which I had ordered not the chicken with chasni , why don't u guys open bakery.. every time they do something that make this restrau worst ..."
12,1,The food was pathetic It was not at all eatable There was no salt it was only spicy Naan was just like rubber and tasteless Don't go to this place This place is very bad HE'S NO MORE
13,1,"The Quality of the food is Pathetic. This is the fourth time I got the food from them and it s an absolute waste of money. On diwali when I ordered Dal makhni and Kadhai Paneer, they mixed my order and forgot to give Dal makhni, when I reached home and called them, they said Paneer mehnga hai dal makhni se, kha lo. I don t appreciate the way they spoke to me, moreover instead of accepting the mistake they started arguing. I would strongly not recommend this place. Kind of quality they are providing, they wouldn t stay in business for a longer period"
14,1,"Owner should seriously look into his cafe or close it for good.Wanted to give 0 overall. Service is very slow and pathetic as there is only 1 waiter, who is inexperienced kid, not even awake of Vinegar & Soya Sauce nor gives water or menu basically have to call 10 times,before can expect any responds. - -10 /Zero Food is not that tasty and quantity is pretty less when compared to other outlets and prices not tht less. Added Bisleri water, whn we didn't even order it, so beware of hidden costs - 0 zero Ambience is very uncomfortable as stairs r broken to let oneself inside than, only 1 A/c to cover such a large area , causing so much suffocation - Too hot & crowded with no food ! If u try to give ur "" feedback"" to that Guy who bills you - he becomes deaf & given no response nor look at you as a sense of decency tht a customer is talking to him for complete wastage of time & money"
15,1,"Food is good but the service is worst waiting for 1 hour for each dish you order, priority for them is online food order. You are waiting for your food and they are only serving for zomoto etc"
16,1,"their kadhai paneer is bestseller, but i have oddered  kadhai paneer for 2 times  which was pathetic."
17,1,"The worst restaurant I have ever been to, the staff is very rude and the food sucks. I would like to get hit by a brick than eating here."
18,1,"Pathetic Service, pathetic food and usse pathetic the attitude of ppl working Wanted to have a lot but cudnt take it"
19,1,I ordered the food (home delivery)...it was smelling a lot .After complain Tree cafe employee collected the food but not refund our money
20,1,Need to work on the service alot Food was average When i asked the waiter to clean the table(we were sitting in the corner) he said 'utna aage kaise saaf karu again and again) So are we supposed to clean the table by ourselves ? Atleast have some manners before talking
21,3,Good on road cafe food was ok ok type. Coffee mug wasn't clean properly.
22,3,Food was good but the owner charged us with 70 rs extra in the bill by changing the items we ordered in the bill though the right item was packed
23,3,Food is ok Service is very slow but maybe that's because they don't have a good amount of customers yet and they didn't hire enough staff
24,3,Late service and food was not too good
25,3,Not very good but Its ok I think they used same gravy for veg and nonveg.
26,2,"We ordered momos, The taste was not good and it was too expensive also Time to service was way High"
27,2,seriously overpriced. Quantity very less and taste average. Not value for money. Management should reconsider pricing or portion size.”
28,2,"This cafe is suitable only for online orders. If someone wants to go and eat here, he has to face a lot of trouble.Service was very late and the food tasted bad."
29,2,I had ordered food from here throgh Zomato and I thought We goota to taste jn restro. But Its worse then expected. Simple Items not present at the time. We have waited approx 15 mint for a chapati. Waiter forgotten to attend again. Worst xperiance.
30,2,food was just decent but staff behaviour was vwer unprofessional
31,4,"Food was fine, just not having good washroom facility."
32,4,"While the cafe has consistently delivered awesome taste experiences, my last visit left me a bit disappointed. I decided to try the Rara Chicken, but it didn't quite meet the high standards I've come to expect. The flavors seemed a bit off, and the dish lacked the usual finesse. However, based on my previous experiences, I believe this might be an isolated incident. I'm hopeful that the next visit will bring back the delightful and consistent culinary excellence that the cafe is known for. Despite the recent hiccup, I still recommend exploring the diverse and tasty offerings this place has to offer."
33,4,I have visited many times here . And also ordered so many times from zomato and Swiggy. Love the taste as always.
34,4,Food was good but ambience has problem. It was not maintained and air-conditioning was not good.
35,4,"Fine experience Tried veg momos they are delicious, dinner is also good, if you are don't want to go Saura then you can enjoy here. Staff is good nd the counter man is also good."
36,4,Very gud food... N service also good... Nice place
37,4,The place is perfect for family and Frnds. Food fresh and good . Staff is good nd Restaurant is neat & clean.
38,4,Good ambiance and good service. And also value for money. Should visit for a family outing dinner brunch etc. If you are living near raipur. Balawala ranjhawala or nearby.
39,4,"Nice taste Good view, but don't go during festival day. It's very late service irritating to you"
40,4,"Food was quite good specially kadai panner, chicken cafe was normal and little sweet . All the way it is a good restaurant in raipur ."
41,4,Veg Grilled Sandwitch of this restaurant is very tasty and delicious. Service is nice. Staff are modest...
42,5,Great taste. Wow ambience & best staff including the boss Mr.manish. best in the city
43,5,Delicious food and price is too much good go with family as well as friend also
44,5,Great food and atmosphere
45,5,"Lovely and comfortable place, quality and taste of  food can be improved"
46,5,I haven't eaten here but I liked it when I went here. Cafe is clean and the atmosphere is good too..Staff is also very good...
47,5,Amazing place with a great view. The food is served hot and fresh and is of the best quality. The service is average as it is mostly packed with people.
48,5,"Friendly and cooperative staff. Amazing Hill view, Indoor and outdoor seating available. Food quality and taste is superb. Must visit with family."
49,5,My every visit was very well
50,5,"amazing food with great value for money. Butter chicken is my favourite, can't get over its taste"
51,5,So beautiful and delicious food and friendly staff
52,5,Food was good.... Price was reasonable.... A must visit. Nice ambience..
53,5,Always best. Accurate time to serve food. No delay. I'm happy client.
54,5,Oreded Kadai chicken. The taste was awesome. Recommended for all.
55,5,Variety of cuisines available compared to other nearby restaurants in Raipur. Delicious food and well behaved staff.
56,5,Food is too good...i would love to come again and again..
57,5,Every thing cooked here is good except pizzas
58,5,Tasty and delicious food with brilliant staff
59,5,All experiences are good .location are All beautiful
60,5,Very hygienic....superb quality and quantity
61,5,Food and service both are good
